Settlement ID,Platform,Store,Currency,Expected Payout Date,Net Amount,Reference
SET-1001,Amazon,US Store,USD,2026-04-10,1250.00,PAYOUT-1001
SET-1002,Shopify,EU Store,EUR,2026-04-12,800.00,PAYOUT-1002
SET-1003,Stripe,UK Store,GBP,2026-04-15,500.00,PAYOUT-1003
SET-1004,Amazon,CA Store,CAD,2026-04-16,620.00,PAYOUT-1004
SET-1005,PayPal,US Store,USD,2026-04-18,300.00,PAYOUT-1005
SET-1006,Etsy,US Store,USD,2026-04-19,450.00,PAYOUT-1006
SET-1007,Walmart,US Store,USD,2026-04-21,900.00,PAYOUT-1007
SET-1008,TikTok Shop,UK Store,GBP,2026-04-22,700.00,PAYOUT-1008
SET-1009,eBay,AU Store,AUD,2026-04-23,1100.00,PAYOUT-1009

